no,code,name,industry_code,industry,shares,capital_stock,par_value
35,39570,HDC LABS,64203,Electrical and Communication Works,25957601,12978800500,500
2487,39610,HS VALVE,32901,Manufacture of General Purpose Machinery,10410400,5205200000,500
2433,39740,KIES,74607,Other Specialized Wholesale,8018397,4009198500,500
1808,39830,AURORA,137302,Specialized Design Services,10762890,5381445000,500
1165,39840,DIO,32701,Manufacture of Medical Appliances and Instruments,15881755,7940877500,500
1006,39860,NanoenTek,32701,Manufacture of Medical Appliances and Instruments,26807627,13403813500,500
1215,39980,LEENOS,106201,Computer programming System Integration and Management Services,46194879,23097439500,500
1054,40160,NuriFlex,105802,Software Development and Supply,12055535,6027767500,500
949,40300,YTN,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,42000000,42000000000,1000
2226,40350,CUROCOM,106201,Computer programming System Integration and Management Services,125973472,62986736000,500
2052,40420,jls,168505,General Private Educational Institute,15677552,8478776000,500
931,40610,SG&amp;G,85209,Other Services Allied to Transport Agency,34087196,17043598000,500
1592,40910,ICD,32902,Manufacture of Special-Purpose Machinery,18464842,9232421000,500
2343,41020,Polaris Office,105802,Software Development and Supply,49725498,24862749000,500
1860,41190,WTIC,116409,Other Financial Intermediation,84000000,42000000000,500
2479,41440,HYUNDAI EVERDIGM,32902,Manufacture of Special-Purpose Machinery,17915944,8957972000,500
2431,41460,Crosscert,105802,Software Development and Supply,19000000,10729624500,500
1677,41510,SME,105902,Audio Publishing and Original Master Recordings,23830901,11915450500,500
1974,41520,e-LITECOM,74601,Wholesale on a Fee or Contract Basis,12188730,6094365000,500
2363,41590,Flask,64204,Building Completion and Finishing,131439863,65719931500,500
399,41650,SANGSIN BRAKE,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),21471450,10735725000,500
2009,41830,InBody,32701,Manufacture of Medical Appliances and Instruments,13683782,6841891000,500
1684,41910,ESTECHPHARMA,32102,Manufacture of Medicaments,11898263,5949131500,500
1242,41920,MEDIANA,32701,Manufacture of Medical Appliances and Instruments,16000000,8000000000,500
1131,41930,DONGAHWASUNG,32201,Manufacture of Rubber Products,15800000,8000000000,500
2197,41960,KOMIPHARM,32102,Manufacture of Medicaments,70604464,7060446400,100
2140,42000,Cafe24 Corp.,106301,Data Processing Hosting and Related activities; Web Portals,22497198,11248599000,500
2177,42040,KPM TECH,32004,Manufacture of Other Chemical Products,173379837,17337983700,100
1663,42110,SCD,32805,Manufacture of Domestic Appliances,48329564,24164782000,500
1355,42370,Vitzro Tech,116409,Other Financial Intermediation,26200025,13100012500,500
1027,42420,NEOWIZ HOLDINGS,105802,Software Development and Supply,8856866,4653433000,500
1223,42500,RingNet,106201,Computer programming System Integration and Management Services,15356878,7678439000,500
1183,42510,RaonSecure,105802,Software Development and Supply,38666746,19333373000,500
2452,42520,HANS BIOMED,32103,Manufacture of Medical Supplies and Related Other Medicaments,12116064,6058032000,500
1404,42600,SERONICS,32602,Manufacture of Electronic Components,12423574,6211787000,500
784,42660,Hanwha Ocean,33101,Building of Ships and Boats,216873399,1089366995000,5000
42,42670,HD Hyundai Infracore,32902,Manufacture of Special-Purpose Machinery,199603453,199603453000,1000
741,42700,HANMI Semi,32902,Manufacture of Special-Purpose Machinery,97339302,12716420500,100
1403,42940,Sangji Caelum,64101,Building Construction,105454439,52727219500,500
1740,43090,Exergy21,74607,Other Specialized Wholesale,58834694,29417347000,500
1475,43100,SOLCO,32701,Manufacture of Medical Appliances and Instruments,66379208,33189604000,500
1304,43150,VATECH,32701,Manufacture of Medical Appliances and Instruments,14854256,7427128000,500
2304,43200,PARU,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,41804315,20902157500,500
2286,43220,TS Nexgen,32902,Manufacture of Special-Purpose Machinery,108799659,54399829500,500
1441,43260,SUNGHO,32602,Manufacture of Electronic Components,53405384,26702692000,500
1694,43340,Essen Tech,32901,Manufacture of General Purpose Machinery,72000000,36000000000,500
1171,43360,DGI,32603,Manufacture of Computers and Peripheral Equipment,9000000,4500000000,500
2377,43370,PHA,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),21000000,10500000000,500
1896,43590,WELKEEPS HITECH,32601,Manufacture of Semiconductor,36103950,18051975000,500
2102,43610,Genie Music,106301,Data Processing Hosting and Related activities; Web Portals,58115438,29057719000,500
982,43650,KSDB,31101,Manufacture of Alcoholic Beverages,17858304,8929152000,500
1415,43710,SEOULEAGUER,74607,Other Specialized Wholesale,50198880,25099440000,500
2044,43910,NNE,32303,Manufacture of Cement Lime and Plaster and Its Products,81391448,40695724000,500
2090,44060,JOKWANG ILI,32901,Manufacture of General Purpose Machinery,95732184,47866092000,500
898,44180,KD,64101,Building Construction,26717799,13358899500,500
1902,44340,WINIX,32805,Manufacture of Domestic Appliances,17873425,8936712500,500
610,44380,JOOYONTECH,32603,Manufacture of Computers and Peripheral Equipment,59199244,11839848800,200
71,44450,KSS LINE,85001,Sea and Coastal Water Transport,23085880,11592940000,500
1334,44480,BLADE Ent,32201,Manufacture of Rubber Products,34091942,17045971000,500
2256,44490,TAEWOONG,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,20007381,10003690500,500
1711,44780,HK,32902,Manufacture of Special-Purpose Machinery,18505787,9252893500,500
647,44820,COSMAX bti,116409,Other Financial Intermediation,9603921,4801960500,500
1961,44960,Eagle Vet. Tech,74607,Other Specialized Wholesale,12641883,6320941500,500
2580,44990,H&amp;S,32602,Manufacture of Electronic Components,7511064,3755532000,500
1806,45060,OKONG Corp.,32004,Manufacture of Other Chemical Products,16941974,8470987000,500
2455,45100,HANYANG ENG,137201,Architectural Engineering and Related Technical Services,18000000,9000000000,500
1437,45300,SUNGWOOTECH,32602,Manufacture of Electronic Components,9959584,4979792000,500
2270,45340,TSB,105802,Software Development and Supply,8558040,4279020000,500
1088,45390,DAEATI,32809,Manufacture of Other Electrical Equipment,70473377,7115152200,100
2053,45510,ZWNS,74605,Wholesale of Machinery Equipment and Supplies,32209292,16104646000,500
2239,45520,Clean &amp; Science,32901,Manufacture of General Purpose Machinery,6500000,3650000000,500
1714,45660,ATEC,32603,Manufacture of Computers and Peripheral Equipment,8260000,4130000000,500
2206,45970,CoAsia,32601,Manufacture of Semiconductor,26314876,13157438000,500
2186,46070,KODACO,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),42786056,21393028000,500
1810,46120,Orbitech,137209,Other Scientific and Technical Services,27068824,13534412000,500
925,46140,SBS Contents Hub,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,21463555,10731777500,500
878,46210,HLB PANAGENE,32103,Manufacture of Medical Supplies and Related Other Medicaments,41004527,20502263500,500
1307,46310,BG T&amp;A,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,16418641,8209320500,500
1394,46390,SAMHWA NWS,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,43172933,8634586600,200
900,46440,KGMBLS,105802,Software Development and Supply,38825568,19412784000,500
1417,46890,SSC,32601,Manufacture of Semiconductor,58305400,29152700000,500
1872,46940,Woowon Development,64201,Site Preparation and Special Trade Construction for Civil Engineering and Buildings,18074350,9037175000,500
1862,46970,WOORIRO,74607,Other Specialized Wholesale,32049634,16024817000,500
220,47040,DWEC,64101,Building Construction,415622638,2078113190000,5000
694,47050,POSCO INTERNATIONAL,74601,Wholesale on a Fee or Contract Basis,175922788,879613940000,5000
2448,47080,HBS,105802,Software Development and Supply,24822362,12411181000,500
2311,47310,POWER LOGICS,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,35691048,18077749000,500
539,47400,UNIONMaterials,32302,Manufacture of Refractory and Non-refractory Ceramic Products,42000000,21000000000,500
1985,47560,ESTsoft,105802,Software Development and Supply,11403332,5701666000,500
2187,47770,Codes Combine,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,37842602,18921301000,500
735,47810,KOREA AEROSPACE,33103,Manufacture of Aircraft Spacecraft and its Parts,97475107,487375535000,5000
2134,47820,CHOROKBAEM MEDIA,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,21712702,108563510000,5000
876,47920,HLBPHARMA,137001,Research and Experimental Development On Natural Sciences and Engineering,30064354,15032177000,500
2477,48410,HDBIO,32004,Manufacture of Other Chemical Products,39808508,19904254000,500
1926,48430,YURA TECH.,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,11520000,5760000000,500
1071,48470,DAESCO,32401,Manufacture of Basic Iron and Steel,10000000,5000000000,500
2029,48530,iNtRON Bio,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,34150762,17075381000,500
938,48550,SM C&amp;C,137103,Advertising,96706620,48353310000,500
945,48770,TPC,32901,Manufacture of General Purpose Machinery,15697991,7848995500,500
1772,48830,NPK,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,18723923,9361961500,500
1505,48870,Synergy Innovation,32701,Manufacture of Medical Appliances and Instruments,82708344,41354172000,500
1092,48910,DAEWON MEDIA,74607,Other Specialized Wholesale,12578946,6319473000,500
2022,49070,INTOPS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,17200000,8600000000,500
997,49080,GIGALANE,32902,Manufacture of Special-Purpose Machinery,84883347,42441673500,500
2314,49120,FINE DNC,32602,Manufacture of Electronic Components,34970177,17485088500,500
1460,49180,CELLUMED,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,42804725,21402362500,500
2195,49430,KOMELON,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,9048000,4524000000,500
932,49470,SGA,105802,Software Development and Supply,58862249,58862249000,1000
1829,49480,Openbase,106201,Computer programming System Integration and Management Services,31422383,15711191500,500
1936,49520,UIL,32602,Manufacture of Electronic Components,21784936,11142469000,500
2041,49550,InkTec,32004,Manufacture of Other Chemical Products,19606277,10104130000,500
2048,49630,JAEYOUNG,32703,Manufacture of Photographic Equipment and Optical Instruments,83331113,41665556500,500
964,49720,KORYOINFO,147509,Other Business Support Services,14300000,7150000000,500
268,49770,DONGWON F &amp; B,31007,Manufacture of Other Food Products,19295620,19295620000,1000
529,49800,WOOJIN PLAIMM,32902,Manufacture of Special-Purpose Machinery,20000000,10000000000,500
1502,49830,SEUNG IL,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,6132112,3066056000,500
1280,49950,meerecompany,32902,Manufacture of Special-Purpose Machinery,8817884,4408942000,500
1545,49960,CBT,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,9400000,4700000000,500
1356,50090,BK Holdings,32602,Manufacture of Electronic Components,19784735,9892367500,500
2143,50110,CammSys,32602,Manufacture of Electronic Components,73824118,36912059000,500
864,50120,ES CUBE,74604,Wholesale of Household Goods,13564086,69092013500,5000
1690,50760,S polytech,32202,Manufacture of Plastic Products,16334678,8167339000,500
1577,50860,ASIA TECHNOLOGY,32902,Manufacture of Special-Purpose Machinery,22500000,11250000000,500
1546,50890,Solid,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,61221640,30610820000,500
1482,50960,SOOSAN INT,105802,Software Development and Supply,6751000,3375500000,500
2111,51160,GAEASOFT,105802,Software Development and Supply,15474430,7737215000,500
2269,51360,TOVIS,32605,Manufacture of Electronic Video and Audio Equipment,16267058,8358529000,500
2025,51370,INTERFLEX,32602,Manufacture of Electronic Components,23327472,11663736000,500
2370,51380,PCD,74605,Wholesale of Machinery Equipment and Supplies,7670036,3835018000,500
950,51390,YW CO.LTD,74608,Wholesale of Non-Specialized Goods,11355368,5677684000,500
1010,51490,NARA M&amp;D,32902,Manufacture of Special-Purpose Machinery,14200000,7230000000,500
848,51500,CJ FW,74603,Wholesale of Food Beverages and Tobaccos,11871586,11871586000,1000
767,51600,KEPCO KPS,64203,Electrical and Communication Works,45000000,9000000000,200
618,51630,CYCC,32202,Manufacture of Plastic Products,15800000,7900000000,500
2227,51780,CUROHOLDINGS,74702,Retail Sale of Foods Beverages and Tobacco in Specialized Stores,124422450,62211225000,500
77,51900,LG H&amp;H,32004,Manufacture of Other Chemical Products,15618197,88589470000,5000
83,51910,LG CHEM,32001,Manufacture of Basic Chemicals,70592343,391405715000,5000
2098,51980,JOONGANG AM,32202,Manufacture of Plastic Products,78501937,39500968500,500
1688,52020,STCUBE,74605,Wholesale of Machinery Equipment and Supplies,46278501,23139250500,500
951,52220,iMBC,106301,Data Processing Hosting and Related activities; Web Portals,23000000,11500000000,500
2478,52260,HYUNDAI BIOLAND,32004,Manufacture of Other Chemical Products,15000000,7500000000,500
1564,52300,CT property,74608,Wholesale of Non-Specialized Goods,118651430,59325715000,500
2218,52330,KORTEK,32605,Manufacture of Electronic Video and Audio Equipment,15574552,7787276000,500
2183,52400,KONA I,105802,Software Development and Supply,14999999,7779559000,500
1817,52420,OSUNG ADVANCED MATERIALS,32202,Manufacture of Plastic Products,79762992,41267780000,500
1607,52460,iCRAFT,106201,Computer programming System Integration and Management Services,14607936,7303968000,500
2445,52600,HANNET,106102,Telecommunications,11563700,5781850000,500
2081,52670,CHEIL BIO,32102,Manufacture of Medicaments,29129064,14564532000,500
768,52690,KEPCO E&amp;C,137201,Architectural Engineering and Related Technical Services,38220000,7644000000,200
